Objective = 1411.19
Vehicle    Node    Arrival Time
1    0    112.218
1    37    116.078
1    169    122.0
1    127    252.89
1    5    262.626
1    259    270.395
1    137    275.0
1    53    361.0
1    185    394.0
1    7    493.839
1    110    501.0
1    44    509.0
1    139    526.839
1    242    534.0
1    176    542.0
1    14    559.034
1    90    564.0
1    146    570.249
1    19    584.968
1    222    595.998
1    54    613.0
1    151    617.968
1    186    646.0
1    265    657.498
2    0    319.906
2    80    321.0
2    10    328.908
2    212    334.792
2    120    340.978
2    142    350.0
2    252    373.978
2    27    598.842
2    36    605.518
2    107    609.0
2    239    618.245
2    159    623.103
2    168    632.898
2    265    646.531
3    0    90.432
3    6    94.241
3    60    100.82
3    192    114.0
3    138    121.565
3    46    141.496
3    75    157.0
3    207    166.464
3    178    173.981
3    1    291.0
3    91    319.023
3    133    324.0
3    223    352.023
3    47    419.602
3    112    426.0
3    39    433.782
3    244    444.057
3    179    452.0
3    12    457.334
3    171    466.782
3    144    482.0
3    132    505.337
3    116    523.794
3    56    528.486
3    264    534.012
3    248    546.79
3    114    551.0
3    188    561.486
3    246    581.924
3    265    595.673
4    0    116.858
4    61    123.922
4    31    133.237
4    163    142.0
4    193    156.922
4    38    180.815
4    170    199.0
4    3    265.564
4    135    278.0
4    74    360.49
4    76    365.0
4    206    377.935
4    208    398.0
4    67    431.0
4    108    450.0
4    199    456.46
4    240    479.449
4    71    485.946
4    22    490.837
4    104    497.327
4    73    507.0
4    154    512.363
4    203    518.946
4    236    527.429
4    205    540.0
4    70    633.0
4    95    648.0
4    202    652.779
4    50    662.12
4    17    670.406
4    227    676.486
4    182    682.627
4    149    702.0
4    265    714.327
5    0    27.473
5    129    39.064
5    28    52.329
5    261    60.856
5    62    72.0
5    160    77.617
5    194    105.0
5    24    473.099
5    35    478.0
5    156    487.204
5    94    505.609
5    167    511.0
5    226    538.609
5    98    569.0
5    121    591.0
5    230    598.219
5    253    604.441
5    265    609.234
6    0    51.785
6    8    59.833
6    78    69.918
6    119    79.597
6    140    91.0
6    210    94.669
6    251    112.597
6    33    198.0
6    72    205.065
6    204    214.263
6    165    231.0
6    130    259.0
6    117    278.345
6    262    285.034
6    249    311.345
6    64    403.695
6    196    414.0
6    9    621.476
6    141    638.0
6    26    645.008
6    158    658.193
6    265    661.473
7    0    71.099
7    23    79.642
7    155    88.0
7    88    107.0
7    220    112.742
7    126    155.0
7    83    168.364
7    49    175.576
7    258    181.052
7    181    193.0
7    215    201.364
7    115    352.0
7    89    368.0
7    247    377.887
7    221    401.0
7    48    570.611
7    180    576.0
7    42    584.162
7    55    594.796
7    174    617.162
7    187    624.0
7    97    649.621
7    79    660.464
7    21    667.0
7    229    673.197
7    211    685.928
7    153    700.0
7    265    713.725
8    0    42.098
8    123    47.0
8    51    67.0
8    255    75.443
8    183    100.0
8    30    232.0
8    125    242.755
8    257    253.164
8    45    260.585
8    162    265.0
8    177    274.097
8    111    279.0
8    13    304.343
8    243    312.0
8    84    323.0
8    145    336.0
8    216    356.0
8    65    392.0
8    102    419.14
8    197    425.0
8    68    441.0
8    234    452.14
8    200    468.454
8    106    488.0
8    238    500.588
8    43    563.522
8    175    575.0
8    122    616.0
8    15    640.743
8    254    649.0
8    147    663.0
8    265    675.664
9    0    26.075
9    82    33.0
9    87    45.36
9    219    59.275
9    214    66.0
9    113    216.0
9    245    226.49
9    59    233.946
9    66    247.0
9    191    254.801
9    40    267.466
9    198    280.0
9    93    286.43
9    172    290.754
9    34    296.827
9    225    316.934
9    109    320.796
9    166    327.16
9    241    337.177
9    52    378.822
9    63    386.839
9    184    391.0
9    195    419.839
9    77    556.328
9    16    566.0
9    209    583.632
9    148    599.0
9    92    623.0
9    41    631.364
9    173    638.82
9    224    646.368
9    265    653.749
10    0    63.183
10    96    70.152
10    228    76.501
10    11    84.126
10    69    90.507
10    99    97.822
10    231    105.767
10    143    115.0
10    201    123.507
10    118    171.0
10    131    182.0
10    250    196.536
10    263    209.008
10    32    283.978
10    124    290.0
10    256    299.679
10    164    308.0
10    29    324.159
10    25    330.421
10    161    338.0
10    157    362.0
10    81    396.0
10    2    402.453
10    213    408.421
10    100    416.0
10    134    421.756
10    232    443.571
10    58    449.276
10    190    454.0
10    18    663.327
10    150    668.0
10    265    681.251
11    0    257.596
11    85    261.441
11    57    267.386
11    217    274.608
11    4    281.135
11    136    290.689
11    189    296.0
11    103    350.0
11    235    366.04
11    105    419.0
11    20    443.952
11    237    452.0
11    152    465.0
11    86    635.0
11    101    647.419
11    218    653.851
11    233    661.25
11    128    670.186
11    260    693.593
11    265    706.302
