Objective = 2114.90
Vehicle    Node    Arrival Time
1    0    14.308
1    115    26.615
1    162    48.0
1    307    59.615
1    37    74.0
1    354    80.775
1    19    94.666
1    229    107.0
1    211    113.393
1    185    221.2
1    128    227.423
1    320    235.129
1    165    243.716
1    377    252.168
1    111    256.0
1    189    261.0
1    357    266.352
1    303    278.167
1    381    285.634
1    166    320.222
1    126    333.0
1    318    342.341
1    358    353.222
1    25    550.0
1    188    558.012
1    124    575.431
1    217    583.0
1    380    591.012
1    316    603.455
1    385    608.226
2    0    130.562
2    144    141.0
2    183    154.653
2    336    168.219
2    11    177.0
2    375    187.653
2    203    210.0
2    149    252.0
2    127    258.0
2    319    273.036
2    341    285.0
2    89    471.586
2    23    482.104
2    215    486.0
2    281    490.471
2    67    529.878
2    52    540.645
2    244    549.029
2    259    554.0
2    109    610.0
2    77    621.0
2    41    629.3
2    301    639.967
2    233    647.416
2    269    654.0
2    385    660.954
3    0    69.553
3    59    77.026
3    164    85.208
3    251    98.0
3    356    118.208
3    169    228.0
3    171    234.997
3    361    246.676
3    363    267.997
3    74    506.134
3    266    515.0
3    385    522.473
4    0    158.721
4    136    165.788
4    55    172.402
4    53    182.362
4    247    192.0
4    328    198.788
4    245    209.0
4    39    304.0
4    21    314.34
4    70    320.847
4    107    332.568
4    231    337.0
4    213    343.487
4    262    350.829
4    299    365.568
4    147    504.0
4    133    520.304
4    339    532.921
4    152    545.0
4    325    553.304
4    344    578.0
4    112    630.178
4    93    640.808
4    285    659.0
4    304    663.178
4    385    674.564
5    0    83.873
5    181    91.0
5    100    100.032
5    292    117.553
5    373    124.0
5    179    131.0
5    161    141.098
5    6    150.0
5    371    162.695
5    353    166.699
5    198    183.0
5    129    205.0
5    168    217.0
5    321    231.04
5    360    250.0
5    2    321.614
5    42    332.0
5    194    348.399
5    234    365.0
5    182    408.0
5    123    420.483
5    374    432.624
5    315    453.483
5    137    516.0
5    86    534.114
5    22    539.504
5    329    545.577
5    278    557.0
5    214    571.0
5    122    632.0
5    38    657.0
5    314    660.375
5    83    674.754
5    230    690.0
5    275    705.37
5    385    720.0
6    0    51.032
6    20    62.245
6    212    71.0
6    135    108.0
6    65    112.631
6    8    123.765
6    327    129.306
6    200    134.496
6    257    143.204
6    98    272.0
6    290    280.41
6    61    326.673
6    186    336.0
6    117    340.774
6    253    352.874
6    309    364.543
6    378    369.0
6    153    484.0
6    345    490.981
6    173    539.82
6    27    553.88
6    365    565.551
6    163    570.731
6    219    586.0
6    174    591.0
6    355    600.043
6    148    606.58
6    366    614.81
6    340    631.956
6    385    646.963
7    0    59.315
7    134    62.0
7    326    76.715
7    36    87.31
7    228    102.0
7    113    113.192
7    81    117.366
7    305    131.266
7    273    137.0
7    101    152.0
7    140    166.238
7    1    171.0
7    293    182.904
7    332    188.249
7    193    204.0
7    43    225.0
7    191    231.91
7    383    245.798
7    235    258.0
7    5    311.219
7    29    316.501
7    221    324.0
7    197    344.219
7    66    366.332
7    78    374.82
7    258    384.0
7    270    399.498
7    192    555.688
7    114    575.0
7    306    579.184
7    384    583.375
7    385    595.692
8    0    218.289
8    87    220.454
8    279    227.0
8    104    416.0
8    33    434.373
8    296    441.904
8    97    448.0
8    225    459.266
8    57    476.068
8    289    481.0
8    249    506.0
8    120    551.964
8    72    557.696
8    264    566.0
8    312    572.216
8    4    618.033
8    105    623.716
8    196    637.0
8    297    656.716
8    68    671.913
8    260    681.0
8    385    692.149
9    0    425.732
9    142    427.0
9    334    436.141
9    15    443.718
9    207    449.975
9    385    454.613
10    0    103.104
10    18    107.037
10    210    117.0
10    58    121.77
10    250    129.0
10    177    192.725
10    32    201.221
10    10    208.178
10    202    216.0
10    369    223.693
10    224    231.77
10    187    235.93
10    379    259.525
10    64    265.602
10    256    283.0
10    51    345.777
10    160    353.0
10    243    371.0
10    352    386.0
10    7    526.202
10    85    532.0
10    199    545.976
10    277    565.0
10    184    587.0
10    103    598.0
10    376    606.416
10    295    616.799
10    385    625.714
11    0    196.026
11    118    198.0
11    310    202.956
11    154    238.0
11    346    244.023
11    146    316.0
11    92    321.857
11    338    335.707
11    139    344.903
11    284    352.0
11    331    363.92
11    99    371.0
11    79    383.409
11    291    391.719
11    151    405.136
11    271    409.0
11    343    438.136
11    14    446.876
11    45    452.756
11    237    461.0
11    206    479.743
11    170    639.954
11    71    651.396
11    263    666.0
11    362    672.954
11    385    683.729
12    0    62.442
12    82    63.647
12    274    71.0
12    40    116.134
12    30    120.0
12    232    127.076
12    222    153.0
12    46    193.282
12    9    199.0
12    121    206.261
12    238    216.726
12    313    225.55
12    201    232.0
12    172    297.0
12    158    308.064
12    364    317.758
12    350    322.284
12    110    328.344
12    132    336.161
12    324    345.509
12    302    353.08
12    47    371.09
12    167    384.0
12    239    404.09
12    359    417.0
12    76    479.0
12    108    493.477
12    268    512.0
12    300    526.477
12    88    598.63
12    54    611.888
12    246    618.0
12    280    623.141
12    125    648.0
12    73    665.471
12    317    681.0
12    265    694.0
12    385    703.068
13    0    131.305
13    116    135.0
13    141    149.0
13    308    156.216
13    333    182.0
13    3    261.233
13    49    276.119
13    195    286.922
13    31    300.0
13    241    309.119
13    80    326.955
13    223    333.0
13    272    344.0
13    102    394.0
13    294    405.883
13    385    411.915
14    0    15.821
14    178    23.0
14    155    36.807
14    347    45.79
14    370    56.0
14    157    264.0
14    349    288.136
14    13    326.383
14    205    336.0
14    69    379.7
14    261    399.0
14    12    458.631
14    50    466.336
14    204    479.838
14    35    484.055
14    242    495.0
14    227    505.0
14    90    635.437
14    48    643.0
14    282    658.21
14    240    676.0
14    385    687.005
15    0    37.741
15    62    46.665
15    44    67.288
15    254    74.596
15    236    83.0
15    16    107.459
15    175    115.0
15    367    130.53
15    208    135.906
15    145    191.0
15    180    211.848
15    337    219.647
15    190    226.0
15    372    244.848
15    382    256.706
15    159    263.0
15    351    272.518
15    156    362.0
15    60    369.738
15    348    381.578
15    95    388.919
15    252    402.215
15    287    421.0
15    138    453.0
15    330    461.672
15    17    541.156
15    26    554.861
15    209    574.156
15    218    587.861
15    91    597.131
15    283    608.513
15    385    614.888
16    0    17.758
16    84    22.642
16    131    33.0
16    323    51.28
16    276    55.642
16    150    119.0
16    342    148.681
16    176    161.0
16    75    188.881
16    368    194.0
16    267    214.0
16    130    219.0
16    94    242.576
16    322    252.0
16    286    271.0
16    34    359.28
16    226    371.0
16    63    411.0
16    28    424.25
16    255    444.0
16    220    450.567
16    24    462.71
16    119    467.729
16    311    475.729
16    216    489.0
16    143    605.0
16    106    619.702
16    335    628.49
16    298    633.235
16    96    641.647
16    288    653.379
16    56    671.413
16    248    687.0
16    385    701.096
