Objective = 1293.37
Vehicle    Node    Arrival Time
1    0    45.246
1    31    48.771
1    139    58.066
1    64    65.0
1    172    69.885
1    11    124.0
1    21    133.774
1    129    146.13
1    119    157.0
1    53    239.811
1    66    249.0
1    161    263.309
1    174    273.388
1    46    352.0
1    43    377.925
1    154    385.0
1    151    404.342
1    90    508.0
1    198    531.734
1    29    543.088
1    75    551.0
1    183    564.056
1    137    576.088
1    38    586.0
1    146    619.0
1    32    665.06
1    140    674.0
1    217    684.389
2    0    104.333
2    76    111.383
2    42    122.096
2    184    130.941
2    150    138.0
2    3    146.976
2    73    161.0
2    111    177.58
2    181    183.14
2    47    460.088
2    155    464.0
2    89    544.0
2    197    552.779
2    85    611.0
2    22    625.0
2    193    637.952
2    33    652.928
2    130    658.0
2    41    681.055
2    141    685.682
2    149    706.543
2    217    720.0
3    0    152.523
3    60    155.0
3    168    166.782
3    8    217.091
3    102    227.281
3    116    233.0
3    210    260.281
3    78    404.438
3    57    415.0
3    165    430.473
3    186    437.438
3    23    490.018
3    131    496.0
3    100    566.0
3    65    578.0
3    208    586.72
3    173    595.416
3    107    627.0
3    215    630.654
3    217    635.006
4    0    149.427
4    56    155.0
4    164    164.467
4    80    273.0
4    188    291.103
4    70    306.05
4    58    324.0
4    166    328.806
4    178    339.05
4    103    375.0
4    211    394.92
4    67    475.0
4    18    484.973
4    10    488.605
4    62    499.962
4    126    504.286
4    175    508.0
4    118    519.183
4    170    532.962
4    16    666.592
4    124    678.0
4    217    685.936
5    0    25.513
5    27    31.925
5    68    40.611
5    135    62.0
5    176    73.611
5    50    195.44
5    19    211.0
5    158    225.588
5    127    244.0
5    7    281.922
5    20    292.0
5    115    309.91
5    128    325.0
5    106    470.0
5    214    482.903
5    14    492.395
5    61    497.705
5    169    512.182
5    122    518.0
5    51    633.251
5    159    641.0
5    217    650.164
6    0    28.751
6    71    31.0
6    179    42.306
6    37    71.023
6    34    80.655
6    145    92.0
6    142    103.0
6    93    144.852
6    99    160.028
6    207    167.018
6    79    173.0
6    201    177.852
6    187    187.947
6    74    214.0
6    77    239.0
6    182    245.724
6    185    272.0
6    86    326.0
6    194    339.01
6    9    385.577
6    117    391.0
6    84    398.406
6    44    424.576
6    192    430.089
6    152    450.0
6    49    456.41
6    157    471.0
6    108    572.0
6    216    586.345
6    54    648.387
6    28    656.0
6    162    667.068
6    136    689.0
6    217    701.056
7    0    11.424
7    88    18.0
7    196    34.541
7    24    121.553
7    30    143.622
7    132    154.553
7    138    176.622
7    98    190.564
7    45    206.406
7    206    212.328
7    63    219.921
7    153    226.436
7    171    252.921
7    55    304.0
7    83    317.478
7    163    327.168
7    35    331.987
7    191    345.286
7    143    356.763
7    92    374.0
7    48    385.0
7    200    392.985
7    156    418.0
7    5    422.096
7    96    426.992
7    113    439.599
7    204    445.983
7    72    475.0
7    180    480.786
7    97    596.0
7    205    619.192
7    217    631.527
8    0    34.758
8    95    40.141
8    1    47.945
8    109    62.0
8    203    70.838
8    36    103.814
8    144    114.0
8    15    178.169
8    26    189.9
8    123    199.0
8    87    208.171
8    134    213.0
8    195    241.171
8    105    369.784
8    12    375.372
8    120    388.0
8    213    394.223
8    52    399.117
8    160    429.297
8    104    442.0
8    212    450.104
8    94    473.0
8    202    481.174
8    217    486.93
9    0    78.044
9    4    83.899
9    112    97.0
9    17    163.859
9    125    186.0
9    101    222.0
9    209    231.938
9    2    292.0
9    13    301.276
9    121    314.999
9    110    325.0
9    59    342.0
9    167    354.622
9    91    509.0
9    25    524.357
9    199    537.142
9    39    541.0
9    133    556.308
9    147    574.0
9    82    580.0
9    69    598.0
9    190    607.848
9    177    628.87
9    81    638.0
9    6    662.0
9    189    670.131
9    40    673.851
9    114    695.0
9    148    705.516
9    217    720.0
